new_UID,rowid_orig_pull,name,address,type,subtype,note_from_open_streetmap_pull,date_pulled,date_validated,X,Y,RFEI
2043,3087,Farm Boy,1500 Bank Street K1H 7Z1,supermarket,large,576873991,2024-06-20,june_july_2024,-75.67026381,45.38141287,healthy
5486,3088,Farm Boy,50 Rideau Street,supermarket,large,651371863,2024-06-20,june_july_2024,-75.69283663,45.42542361,healthy
7766,3089,Farm Boy,NA,supermarket,large,755770982,2024-06-20,june_july_2024,-74.73285661,45.02790328,healthy
3511,3090,Farm Boy,820 Belfast Road,supermarket,large,874937402,2024-06-20,june_july_2024,-75.63789726,45.41259558,healthy
7384,3182,Food Basics,NA,supermarket,large,471051653,2024-06-20,june_july_2024,-74.7052784,45.0246332,healthy
475,3183,Food Basics,NA,supermarket,large,2135640241,2024-06-20,june_july_2024,-77.0831066,45.8202896,healthy
8129,3184,Food Basics,NA,supermarket,large,2607297211,2024-06-20,june_july_2024,-76.014631,44.88201,healthy
6941,3185,Food Basics,"1200 Highway 15, Kingston K7K 7J8",supermarket,large,6156428122,2024-06-20,june_july_2024,-76.4511368,44.2704312,healthy
3908,3186,Food Basics,1670 Heron Road,supermarket,large,68586373,2024-06-20,june_july_2024,-75.64319951,45.37936033,healthy
9821,3187,Food Basics,667 Kirkwood Avenue,supermarket,large,112013387,2024-06-20,june_july_2024,-75.73887612,45.38638241,healthy
2844,3188,Food Basics,1465 Merivale Road K2E 5N9,supermarket,large,143444559,2024-06-20,june_july_2024,-75.73294583,45.36043079,healthy
7934,3189,Food Basics,3049 Jefferson Drive,supermarket,large,187777761,2024-06-20,june_july_2024,-75.70413323,44.59853641,healthy
2019,3190,Food Basics,2615 County Road 43,supermarket,large,229189725,2024-06-20,june_july_2024,-75.65934528,45.01996073,healthy
6662,3191,Food Basics,"3090 County Road 17, Rockland K4K 1V5",supermarket,large,233061563,2024-06-20,june_july_2024,-75.30179565,45.5481329,healthy
2024,3192,Food Basics,150 Katimavik Road,supermarket,large,233577107,2024-06-20,june_july_2024,-75.89564455,45.3126793,healthy
8003,3193,Food Basics,1021 Cyrville Road K1J 7S3,supermarket,large,244243181,2024-06-20,june_july_2024,-75.6365959,45.4267042,healthy
10164,3194,Food Basics,5703 Hazeldean Road,supermarket,large,471920113,2024-06-20,june_july_2024,-75.91355763,45.28518094,healthy
9990,3195,Food Basics,900 Greenbank Road K2J 1S8,supermarket,large,478977135,2024-06-20,june_july_2024,-75.7562589,45.28434652,healthy
234,3196,Food Basics,3712 Innes Road K1W 0C8,supermarket,large,484828775,2024-06-20,june_july_2024,-75.51723404,45.44959128,healthy
5573,3197,Food Basics,NA,supermarket,large,601845334,2024-06-20,june_july_2024,-74.75127298,45.02429692,healthy
8363,3205,Foodland,NA,supermarket,large,1401843040,2024-06-20,june_july_2024,-77.1116306,45.554408,healthy
723,3206,Foodland,337 Hastings Street North,supermarket,large,2392280688,2024-06-20,june_july_2024,-77.8584191,45.0834258,healthy
4335,3207,Foodland,12015 County Road 31,supermarket,large,2608302415,2024-06-20,june_july_2024,-75.3723471,45.0875471,healthy
9383,3208,Foodland,NA,supermarket,large,3470380002,2024-06-20,june_july_2024,-75.3163511,44.8491406,healthy
3906,3209,Foodland,NA,supermarket,large,3715727108,2024-06-20,june_july_2024,-74.9894867,44.9968651,healthy
5064,3210,Foodland,NA,supermarket,large,6007222109,2024-06-20,june_july_2024,-74.6499089,45.5256937,healthy
2926,3211,Foodland,"327 Main Street, Mattawa P0H 1V0",supermarket,large,8388796192,2024-06-20,june_july_2024,-78.7050103,46.3182528,healthy
4387,3212,Foodland,NA,supermarket,large,73416565,2024-06-20,june_july_2024,-77.15961437,44.73382245,healthy
8351,3213,Foodland,NA,supermarket,large,290898298,2024-06-20,june_july_2024,-76.59357192,44.4139958,healthy
2436,3214,Foodland,NA,supermarket,large,363645808,2024-06-20,june_july_2024,-76.69487746,44.46691476,healthy
9616,3215,Foodland,"41 King Street, Delta",supermarket,large,488856559,2024-06-20,june_july_2024,-76.1212091,44.6115509,healthy
6449,3216,Foodland,5669 Osgoode Main Street,supermarket,large,533298640,2024-06-20,june_july_2024,-75.60201002,45.14966793,healthy
9625,3217,Foodland,"148 Craig Street, Russell",supermarket,large,605312783,2024-06-20,june_july_2024,-75.37388912,45.25703695,healthy
3741,3218,Foodland,NA,supermarket,large,679592602,2024-06-20,june_july_2024,-78.2252959,45.03669503,healthy
2041,3219,Foodland,6045 Bank Street,supermarket,large,762479340,2024-06-20,june_july_2024,-75.55471364,45.26336717,healthy
4367,3252,FreshCo,"350 Spence Avenue, Hawkesbury K6A 2Z6",supermarket,large,7081680189,2024-06-20,june_july_2024,-74.612731,45.5980867,healthy
7873,3253,FreshCo,320 McArthur Avenue K1L 5G2,supermarket,large,16386340,2024-06-20,june_july_2024,-75.65385591,45.43026662,healthy
5429,3254,FreshCo,110 Lansdowne Avenue,supermarket,large,195440529,2024-06-20,june_july_2024,-76.13957213,45.13401876,healthy
3689,3255,FreshCo,4750 Bank Street K1T 0K8,supermarket,large,219306015,2024-06-20,june_july_2024,-75.59580412,45.31908795,healthy
2670,3256,FreshCo,1595 Merivale Road K2G 3J4,supermarket,large,551780127,2024-06-20,june_july_2024,-75.73273542,45.35278589,healthy
5941,3257,FreshCo,350 Cresthaven Drive K2G 4P4,supermarket,large,574589080,2024-06-20,june_july_2024,-75.70993037,45.27385791,healthy
7824,3258,FreshCo,2150 Robertson Road,supermarket,large,581659417,2024-06-20,june_july_2024,-75.83546368,45.31942291,healthy
3139,3259,FreshCo,525 Ninth Street East,supermarket,large,684880572,2024-06-20,june_july_2024,-74.72389826,45.03225881,healthy
1632,3260,FreshCo,"920 Watters Road, Ottawa K4A 0B4",supermarket,large,1202540395,2024-06-20,june_july_2024,-75.47485492,45.4829575,healthy
3246,3399,Giant Tiger,"2480 Walkley Road, Ottawa, K1G 6A9, CA",retail_with_convenience,discount_retailer,3rd Party Gift Cards|ATM|Fresh Meat|In store pickup|In store shopping|Instacart|Lottery|Stamps,2023-09-27,june_july_2024,-75.6101515,45.3902453,unhealthy
943,3400,Giant Tiger,"2950 Bank Street, Unit 12, Ottawa, K1T 1N8, CA",retail_with_convenience,discount_retailer,3rd Party Gift Cards|Fresh Meat|In store pickup|In store shopping|Instacart|Lottery|Stamps,2023-09-27,june_july_2024,-75.6264724,45.3461151,unhealthy
2735,3401,Giant Tiger,"1085 Wellington Street West, Ottawa, K1Y 2Y4, CA",retail_with_convenience,discount_retailer,3rd Party Gift Cards|In store pickup|In store shopping|Instacart|Lottery|Stamps,2023-09-27,june_july_2024,-75.725524,45.4032189,unhealthy
5616,3402,Giant Tiger,"98 George Street, Ottawa, K1N 5W2, CA",retail_with_convenience,discount_retailer,3rd Party Gift Cards|ATM|In store pickup|In store shopping|Instacart|Stamps,2023-09-27,june_july_2024,-75.6905046,45.427402,unhealthy
9757,3403,Giant Tiger,"1021 St. Laurent Boulevard, Ottawa, K1K 3B1, CA",retail_with_convenience,discount_retailer,3rd Party Gift Cards|Canada Post Parcel Pickup|Fresh Meat|In store pickup|In store shopping|Instacart|Lottery|Stamps,2023-09-27,june_july_2024,-75.6379081,45.4284564,unhealthy
7300,3404,Giant Tiger,"1512 Merivale Road, Ottawa, K2G 3J6, CA",retail_with_convenience,discount_retailer,3rd Party Gift Cards|Fresh Meat|In store pickup|In store shopping|Instacart|Lottery|Stamps,2023-09-27,june_july_2024,-75.7378655,45.3567334,unhealthy
4507,3405,Giant Tiger,"9 boulevard Montclair, Centre Montclair, Gatineau, J8Y 2E2, CA",retail_with_convenience,discount_retailer,3rd Party Gift Cards|Fresh Meat|In store pickup|Instacart|Lottery|Stamps,2023-09-27,june_july_2024,-75.72902144,45.43925048,unhealthy
6878,3406,Giant Tiger,"55 Boul. Greber, Gatineau, J8T 3P7, CA",retail_with_convenience,discount_retailer,3rd Party Gift Cards|Fresh Meat|In store pickup|In store shopping|Instacart|Lottery,2023-09-27,june_july_2024,-75.6994492,45.4625432,unhealthy
1556,3407,Giant Tiger,"715 boulevard Maloney Est, Gatineau, J8P 1G3, CA",retail_with_convenience,discount_retailer,3rd Party Gift Cards|ATM|Fresh Meat|In store pickup|In store shopping|Instacart|Lottery|Stamps,2023-09-27,june_july_2024,-75.6236107,45.4841844,unhealthy
464,3408,Giant Tiger,"210 chemin Aylmer, Gatineau, J9H 1A2, CA",retail_with_convenience,discount_retailer,3rd Party Gift Cards|Fresh Meat|In store pickup|In store shopping|Instacart|Lottery|Stamps,2023-09-27,june_july_2024,-75.8331176,45.3947103,unhealthy
