DBUID,dbpop2021,lon,lat,ONS_ID,ONS_Name,ONS_Region,rurality,num_unhealthy,num_healthy,costing,distance
35090185008,61,-75.98849758831724,44.950269658786894,3406,Montague,Lanark,rural,7,4,auto,15
35090186003,152,-75.98157049261616,44.933317402661125,3406,Montague,Lanark,rural,7,4,auto,15
35061126007,34,-75.64706639095435,45.15221799293364,3078,NORTH GOWER - KARS,OTTAWA,rural,21,5,auto,15
35061465007,18,-75.60121577122379,45.143062775063164,3086,OSGOODE - VERNON,OTTAWA,rural,10,3,auto,15
35061144007,63,-75.83011862968156,45.18528311567756,3074,RICHMOND,OTTAWA,rural,55,22,auto,15
35061467006,60,-75.6079833776466,45.14364499225262,3086,OSGOODE - VERNON,OTTAWA,rural,16,4,auto,15
35061467003,32,-75.60402841729261,45.14287452968601,3086,OSGOODE - VERNON,OTTAWA,rural,16,4,auto,15
35061468003,41,-75.59777545916862,45.14178118441661,3086,OSGOODE - VERNON,OTTAWA,rural,10,3,auto,15
35061467004,31,-75.60656211039999,45.142636810057994,3086,OSGOODE - VERNON,OTTAWA,rural,14,3,auto,15
35061143003,128,-75.83907288503178,45.171856798464596,3074,RICHMOND,OTTAWA,rural,10,4,auto,15
35061469003,48,-75.60989858677378,45.14441396351635,3086,OSGOODE - VERNON,OTTAWA,rural,23,5,auto,15
35061463006,35,-75.53595731532893,45.1234229898418,3086,OSGOODE - VERNON,OTTAWA,rural,1,0,auto,15
35060844005,18,-75.64659712123954,45.15092622569867,3078,NORTH GOWER - KARS,OTTAWA,rural,22,5,auto,15
35061465010,35,-75.5987586317556,45.14104536624204,3086,OSGOODE - VERNON,OTTAWA,rural,10,2,auto,15
35010329012,46,-75.40121511441507,44.92702369658093,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,2,0,auto,15
35010310002,50,-75.17829995656447,44.90192263817335,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,6,3,auto,15
35010308011,29,-75.18669122626298,44.904747427429214,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,6,3,auto,15
35010310003,10,-75.1793968648318,44.901470498716705,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,6,3,auto,15
35010310004,100,-75.17884393751795,44.90066891315988,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,6,3,auto,15
35010310005,70,-75.1808163542098,44.89924113577249,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,6,3,auto,15
35010303012,10,-75.30117487981799,44.90905072931921,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,3,1,auto,15
35010309001,41,-75.181516065175,44.900073222098946,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,6,3,auto,15
35010309003,123,-75.1826366870793,44.89896052048721,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,6,3,auto,15
35010309004,83,-75.18123832820844,44.89853259406323,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,6,3,auto,15
35010309002,37,-75.18199731887199,44.89882433198814,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,6,3,auto,15
35010307001,49,-75.18820455901412,44.89862130552778,3806,South Dundas,"Stormont, Dundas and Glengarry",rural,6,3,auto,15
35090185010,84,-76.02677969927532,44.997249870469204,3406,Montague,Lanark,rural,2,0,auto,15
35090185006,187,-76.03961348891964,44.95680799174311,3406,Montague,Lanark,rural,9,4,auto,15
35090184002,78,-76.09396888987634,44.98165878727342,3406,Montague,Lanark,rural,1,0,auto,15
35090142006,10,-76.10453632961553,44.99275966479553,3401,Beckwith,Lanark,rural,11,3,auto,15
35090184003,122,-76.06440299985977,44.961782806711206,3406,Montague,Lanark,rural,3,0,auto,15
35061135009,92,-75.93715686346133,45.09894367356517,3075,MUNSTER - ASHTON,OTTAWA,rural,3,0,auto,15
35061131008,54,-75.75725041643564,45.08139797341091,3071,MARLBOROUGH,OTTAWA,rural,2,0,auto,15
35061132006,49,-75.6552636292378,45.06793465785928,3078,NORTH GOWER - KARS,OTTAWA,rural,12,4,auto,15
35061132004,84,-75.66615859033864,45.06597359061058,3078,NORTH GOWER - KARS,OTTAWA,rural,11,4,auto,15
35061135011,34,-75.93763267325048,45.09865358352937,3075,MUNSTER - ASHTON,OTTAWA,rural,3,0,auto,15
35061133008,197,-75.73250257672142,45.023603841133124,3071,MARLBOROUGH,OTTAWA,rural,13,4,auto,15
35090202011,39,-76.02130722044122,44.88946506476591,3408,Smiths Falls,Lanark,town,7,4,auto,10
35090202009,58,-76.02126809771656,44.88888211199599,3408,Smiths Falls,Lanark,town,7,4,auto,10
